Clade,Region
B,Asia
B,Asia
B,Asia
B,Asia
B,Europe
B,Asia
B,Asia
B,Asia
B,Europe
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Oceania
B,Asia
B,Asia
B,Asia
B,Europe
B,Europe
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,North America
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B2,Asia
B2,North America
B2,Asia
B2,Oceania
B2,Asia
B2,Asia
B2,Asia
B2,Asia
B2,Asia
B2,Asia
B2,Asia
B2,Asia
B2,Asia
B2,Asia
B2,Europe
B2,Asia
B2,Asia
B2,Asia
B2,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B4,Asia
B4,Oceania
B4,Asia
B4,Asia
B4,Asia
B4,Africa
B4,Asia
B4,Oceania
B4,Africa
B4,Africa
B4,Africa
B4,Africa
B4,Asia
B4,Oceania
B4,Oceania
B4,Oceania
B4,North America
B4,Asia
B4,Africa
B4,Asia
B4,Asia
B4,Africa
B4,Asia
B4,Asia
B4,Africa
B4,Asia
B4,Asia
B4,Asia
B4,Asia
B4,Asia
B4,Asia
B4,Asia
B4,Europe
B4,Europe
B4,Asia
B4,Asia
B,Europe
B,Europe
B,Europe
B,Europe
B,South America
B,Europe
B,Europe
B,Europe
B,South America
B,Europe
B,Europe
B,Europe
B,Oceania
B,Oceania
B,Oceania
B,Oceania
B,Europe
B,Europe
B,Europe
B,Europe
B,Europe
B,North America
B,Europe
B,South America
B,Europe
B,Europe
B,Europe
B,Europe
B,Europe
B,Africa
B,South America
B,South America
B,Europe
B,Europe
B,Europe
B,Europe
B,South America
B,South America
B,Asia
B,Europe
B,Europe
B,Asia
B,Oceania
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Europe
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Europe
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Europe
B,Europe
B,Europe
B,Europe
B,Europe
B,Oceania
B,Europe
B,Europe
B,Europe
B,Europe
B,Europe
B,North America
B,Oceania
B,South America
B,South America
B,Europe
B,North America
B,Asia
B,Asia
B,North America
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,Asia
B,North America
B,North America
B,North America
B,North America
B,North America
B,North America
B,North America
B,North America
B,North America
B,North America
B,North America
B,North America
B,North America
B,North America
B,North America
B,North America
B,North America
B,Asia
B,North America
B1,Asia
B1,Asia
B1,Asia
B1,Asia
B1,Asia
B1,Asia
B1,Asia
B1,North America
B1,North America
B1,North America
B1,North America
B1,North America
B1,North America
B1,North America
B1,North America
B1,North America
B1,North America
B1,North America
B1,North America
B1,Oceania
B1,Oceania
B1,North America
B1,North America
B1,North America
B1,North America
B1,North America
B1,North America
B1,North America
B1,North America
B1,Asia
B1,North America
B1,North America
B1,North America
B1,North America
B1,North America
B1,Oceania
B1,North America
B1,Oceania
B1,Oceania
B1,Asia
B1,Oceania
B1,North America
B1,Oceania
B1,Asia
B1,North America
B1,North America
B1,North America
B1,North America
B1,North America
B1,North America
B1,Oceania
B1,North America
B1,North America
B1,North America
B1,North America
B1,North America
B1,North America
B1,North America
B1,North America
B1,North America
B1,North America
A3,Asia
A3,Asia
A3,Asia
A3,Asia
A3,Asia
A3,Asia
A3,Europe
A3,Asia
A3,Asia
A3,Asia
A3,Asia
A3,Asia
A3,Oceania
A3,Oceania
A3,Oceania
A3,Asia
A3,Asia
A3,Asia
A3,Asia
A3,Asia
A3,North America
A3,North America
A3,North America
A3,Oceania
A3,Oceania
A3,Asia
A3,Asia
A3,Oceania
A3,Europe
A3,Oceania
A3,North America
A3,North America
A3,Europe
A3,Europe
A3,Asia
A3,Oceania
A3,Oceania
A3,Oceania
A3,Oceania
A3,North America
A3,North America
A3,North America
A3,North America
A3,North America
A3,Oceania
A3,Asia
A3,Asia
A3,Asia
A3,North America
A3,Asia
A3,Asia
A3,Europe
A3,Africa
A3,Asia
A3,Asia
A3,Europe
A3,Europe
A3,Europe
A3,Europe
A3,Asia
A3,Asia
A3,Asia
A3,Asia
A3,Asia
A3,Asia
A3,Asia
A3,Asia
A3,Asia
A3,Europe
A3,Europe
A3,Europe
A3,Asia
A3,Asia
A3,Oceania
A3,Europe
A3,Europe
A3,Europe
A3,Europe
A1a,Asia
A1a,Asia
A1a,Asia
A1a,Asia
A1a,Asia
A1a,Asia
A1a,Asia
A1a,Asia
A1a,Asia
A1a,Asia
A1a,Asia
A1a,Asia
A1a,Asia
A1a,Asia
A1a,North America
A1a,Asia
A1a,Asia
A1a,Asia
A1a,Asia
A1a,Asia
A1a,Asia
A1a,Asia
A1a,Europe
A1a,Europe
A1a,Europe
A1a,Europe
A1a,Europe
A1a,Asia
A1a,Europe
A1a,Europe
A1a,Europe
A1a,Europe
A1a,Oceania
A1a,Oceania
A1a,Europe
A1a,Europe
A1a,Asia
A1a,Asia
A1a,Asia
A1a,North America
A1a,North America
A1a,Asia
A1a,Asia
A1a,Asia
A1a,Asia
A1a,North America
A1a,North America
A1a,Europe
A1a,North America
A1a,North America
A1a,Europe
A1a,Europe
A1a,Europe
A1a,Europe
A1a,Europe
A1a,Asia
A1a,Europe
A1a,South America
A1a,Europe
A1a,Asia
A1a,Oceania
A1a,Europe
A1a,Europe
A1a,Europe
A1a,Europe
A1a,Europe
A1a,Europe
A1a,Europe
A1a,North America
A1a,North America
A1a,North America
A1a,North America
A1a,North America
A1a,Europe
A1a,Europe
A1a,Europe
A1a,Europe
A1a,South America
A1a,Europe
A1a,Africa
A1a,Europe
A1a,Asia
A1a,Europe
A1a,Asia
A1a,Africa
A1a,Europe
A1a,Europe
A1a,Europe
A1a,Europe
A1a,North America
A1a,Europe
A1a,Europe
A1a,Europe
A1a,Oceania
A1a,Asia
A1a,South America
A1a,Europe
A1a,Europe
A1a,Europe
A1a,Asia
A1a,Asia
A1a,Europe
A1a,Africa
A1a,Europe
A1a,Europe
A1a,Europe
A1a,Europe
A1a,Asia
A1a,Europe
A1a,North America
A1a,Europe
A1a,North America
A1a,Europe
A1a,Europe
A1a,North America
A1a,Europe
A1a,Europe
A1a,Europe
A1a,Europe
A1a,North America
A1a,Europe
A1a,Europe
A1a,Europe
A1a,Oceania
A1a,Europe
A7,North America
A6,Asia
A6,South America
A6,Oceania
A6,Asia
A6,Europe
A6,Europe
A6,Europe
A6,North America
A6,Europe
A6,Europe
A6,Europe
A2,Europe
A2,Asia
A2,Asia
A2,Asia
A2,Europe
A2,Europe
A2,South America
A2,Europe
A2,Europe
A2a,Europe
A2a,North America
A2a,North America
A2a,North America
A2a,Europe
A2a,Europe
A2a,Asia
A2a,Europe
A2a,Europe
A2a,Europe
A2a,Europe
A2a,Europe
A2a,Europe
A2a,Europe
A2a,Europe
A2a,Europe
A2a,Asia
A2a,Europe
A2a,Europe
A2a,Europe
A2a,Europe
A2a,Europe
A2a,Europe
A2a,North America
A2a,Europe
A2a,South America
A2a,North America
A2a,Europe
A2a,Asia
A2a,Europe
A2a,North America
A2a,Europe
A2a,Europe
A2a,Europe
A2a,Europe
A2a,Europe
A2a,Europe
A2a,Europe
A2a,Oceania
A2a,Europe
A2a,North America
A2a,North America
A2a,North America
A2a,Europe
A2a,Europe
A2a,Europe
