Country/Region,Date,Confirmed,Deaths,Recovered,Fdate
US,5/12/20,1369376,82356,230287,2020-05-12
Russia,5/12/20,232243,2116,43512,2020-05-12
Spain,5/12/20,228030,26920,138980,2020-05-12
United Kingdom,5/12/20,226463,32692,0,2020-05-12
Italy,5/12/20,221216,30911,109039,2020-05-12
Brazil,5/12/20,178214,12461,72597,2020-05-12
France,5/12/20,176207,26951,56617,2020-05-12
Germany,5/12/20,173171,7738,147200,2020-05-12
Turkey,5/12/20,141475,3894,98889,2020-05-12
Iran,5/12/20,110767,6733,88357,2020-05-12
India,5/12/20,74292,2415,24420,2020-05-12
Peru,5/12/20,72059,2057,23324,2020-05-12
China,5/12/20,68134,4512,63616,2020-05-12
Belgium,5/12/20,53779,8761,13732,2020-05-12
Netherlands,5/12/20,42984,5510,0,2020-05-12
Saudi Arabia,5/12/20,42925,264,15257,2020-05-12
Canada,5/12/20,39235,3132,0,2020-05-12
Mexico,5/12/20,38324,3926,25935,2020-05-12
Pakistan,5/12/20,34336,737,8812,2020-05-12
Chile,5/12/20,31721,335,14125,2020-05-12
Ecuador,5/12/20,30419,2327,3433,2020-05-12
Switzerland,5/12/20,30380,1867,26800,2020-05-12
Portugal,5/12/20,27913,1163,3013,2020-05-12
Sweden,5/12/20,27272,3313,4971,2020-05-12
Qatar,5/12/20,25149,14,3019,2020-05-12
Belarus,5/12/20,24873,142,6974,2020-05-12
Singapore,5/12/20,24671,21,3851,2020-05-12
Ireland,5/12/20,23242,1488,17110,2020-05-12
Canada,5/12/20,22158,1852,0,2020-05-12
United Arab Emirates,5/12/20,19661,203,6012,2020-05-12
Poland,5/12/20,16921,839,6131,2020-05-12
Bangladesh,5/12/20,16660,250,3147,2020-05-12
Israel,5/12/20,16529,260,12083,2020-05-12
Ukraine,5/12/20,16023,425,3373,2020-05-12
Japan,5/12/20,15968,657,8531,2020-05-12
Austria,5/12/20,15961,623,14148,2020-05-12
Romania,5/12/20,15778,1002,7685,2020-05-12
Indonesia,5/12/20,14749,1007,3063,2020-05-12
Colombia,5/12/20,12272,493,2971,2020-05-12
Philippines,5/12/20,11350,751,2106,2020-05-12
