Country/Region,Date,Confirmed,Deaths,Recovered,Fdate
US,5/12/20,1369376,82356,230287,2020-05-12
Russia,5/12/20,232243,2116,43512,2020-05-12
Spain,5/12/20,228030,26920,138980,2020-05-12
United Kingdom,5/12/20,226463,32692,0,2020-05-12
Italy,5/12/20,221216,30911,109039,2020-05-12
Brazil,5/12/20,178214,12461,72597,2020-05-12
France,5/12/20,176207,26951,56617,2020-05-12
Germany,5/12/20,173171,7738,147200,2020-05-12
Turkey,5/12/20,141475,3894,98889,2020-05-12
Iran,5/12/20,110767,6733,88357,2020-05-12
India,5/12/20,74292,2415,24420,2020-05-12
Peru,5/12/20,72059,2057,23324,2020-05-12
China,5/12/20,68134,4512,63616,2020-05-12
Belgium,5/12/20,53779,8761,13732,2020-05-12
Netherlands,5/12/20,42984,5510,0,2020-05-12
Saudi Arabia,5/12/20,42925,264,15257,2020-05-12
Canada,5/12/20,39235,3132,0,2020-05-12
Mexico,5/12/20,38324,3926,25935,2020-05-12
Pakistan,5/12/20,34336,737,8812,2020-05-12
Chile,5/12/20,31721,335,14125,2020-05-12
Ecuador,5/12/20,30419,2327,3433,2020-05-12
Switzerland,5/12/20,30380,1867,26800,2020-05-12
Portugal,5/12/20,27913,1163,3013,2020-05-12
Sweden,5/12/20,27272,3313,4971,2020-05-12
Qatar,5/12/20,25149,14,3019,2020-05-12
Belarus,5/12/20,24873,142,6974,2020-05-12
Singapore,5/12/20,24671,21,3851,2020-05-12
Ireland,5/12/20,23242,1488,17110,2020-05-12
Canada,5/12/20,22158,1852,0,2020-05-12
United Arab Emirates,5/12/20,19661,203,6012,2020-05-12
Poland,5/12/20,16921,839,6131,2020-05-12
Bangladesh,5/12/20,16660,250,3147,2020-05-12
Israel,5/12/20,16529,260,12083,2020-05-12
Ukraine,5/12/20,16023,425,3373,2020-05-12
Japan,5/12/20,15968,657,8531,2020-05-12
Austria,5/12/20,15961,623,14148,2020-05-12
Romania,5/12/20,15778,1002,7685,2020-05-12
Indonesia,5/12/20,14749,1007,3063,2020-05-12
Colombia,5/12/20,12272,493,2971,2020-05-12
Philippines,5/12/20,11350,751,2106,2020-05-12
South Africa,5/12/20,11350,206,4357,2020-05-12
South Korea,5/12/20,10962,259,9695,2020-05-12
Dominican Republic,5/12/20,10900,402,3221,2020-05-12
Denmark,5/12/20,10591,527,8580,2020-05-12
Kuwait,5/12/20,10277,75,3101,2020-05-12
Serbia,5/12/20,10243,220,3600,2020-05-12
Egypt,5/12/20,10093,544,2326,2020-05-12
Panama,5/12/20,8783,252,6021,2020-05-12
Czechia,5/12/20,8221,283,4889,2020-05-12
Norway,5/12/20,8157,228,32,2020-05-12
Malaysia,5/12/20,6742,109,5223,2020-05-12
Argentina,5/12/20,6563,319,1862,2020-05-12
Morocco,5/12/20,6418,188,2991,2020-05-12
Canada,5/12/20,6345,118,0,2020-05-12
Algeria,5/12/20,6067,515,2998,2020-05-12
Finland,5/12/20,6003,275,4300,2020-05-12
Bahrain,5/12/20,5531,9,2192,2020-05-12
Kazakhstan,5/12/20,5279,32,2223,2020-05-12
Moldova,5/12/20,5154,182,2069,2020-05-12
Ghana,5/12/20,5127,22,494,2020-05-12
Afghanistan,5/12/20,4963,127,610,2020-05-12
Nigeria,5/12/20,4787,158,959,2020-05-12
Luxembourg,5/12/20,3894,102,3610,2020-05-12
Oman,5/12/20,3721,17,1250,2020-05-12
Armenia,5/12/20,3538,47,1430,2020-05-12
Hungary,5/12/20,3313,425,1007,2020-05-12
Australia,5/12/20,3059,45,2571,2020-05-12
Thailand,5/12/20,3017,56,2798,2020-05-12
Bolivia,5/12/20,2964,128,313,2020-05-12
Iraq,5/12/20,2913,112,1903,2020-05-12
Greece,5/12/20,2744,152,1374,2020-05-12
Azerbaijan,5/12/20,2693,33,1680,2020-05-12
Cameroon,5/12/20,2689,125,1524,2020-05-12
Uzbekistan,5/12/20,2519,10,2010,2020-05-12
Canada,5/12/20,2360,132,0,2020-05-12
Guinea,5/12/20,2298,11,816,2020-05-12
Croatia,5/12/20,2207,91,1808,2020-05-12
Bosnia and Herzegovina,5/12/20,2158,117,1168,2020-05-12
Honduras,5/12/20,2080,121,211,2020-05-12
Bulgaria,5/12/20,2023,95,476,2020-05-12
Senegal,5/12/20,1995,19,742,2020-05-12
Cote d'Ivoire,5/12/20,1857,21,820,2020-05-12
Cuba,5/12/20,1804,78,1277,2020-05-12
Iceland,5/12/20,1801,10,1776,2020-05-12
Estonia,5/12/20,1746,61,777,2020-05-12
North Macedonia,5/12/20,1674,92,1205,2020-05-12
Sudan,5/12/20,1661,80,173,2020-05-12
China,5/12/20,1589,8,1578,2020-05-12
Australia,5/12/20,1514,18,1385,2020-05-12
New Zealand,5/12/20,1497,21,1402,2020-05-12
Lithuania,5/12/20,1491,50,850,2020-05-12
Slovakia,5/12/20,1465,27,983,2020-05-12
Slovenia,5/12/20,1461,102,259,2020-05-12
China,5/12/20,1276,22,1254,2020-05-12
China,5/12/20,1268,1,1267,2020-05-12
Djibouti,5/12/20,1256,3,886,2020-05-12
Guatemala,5/12/20,1199,27,120,2020-05-12
Somalia,5/12/20,1170,52,126,2020-05-12
Congo (Kinshasa),5/12/20,1102,44,146,2020-05-12
France,5/12/20,1095,12,492,2020-05-12
Australia,5/12/20,1052,6,1028,2020-05-12
China,5/12/20,1047,4,991,2020-05-12
Kyrgyzstan,5/12/20,1037,12,709,2020-05-12
Tunisia,5/12/20,1032,45,740,2020-05-12
Canada,5/12/20,1020,48,0,2020-05-12
China,5/12/20,1019,4,1015,2020-05-12
El Salvador,5/12/20,998,20,349,2020-05-12
China,5/12/20,991,6,985,2020-05-12
Latvia,5/12/20,950,18,627,2020-05-12
China,5/12/20,945,13,929,2020-05-12
China,5/12/20,937,1,936,2020-05-12
Kosovo,5/12/20,919,29,671,2020-05-12
Maldives,5/12/20,904,3,29,2020-05-12
Cyprus,5/12/20,903,16,449,2020-05-12
Sri Lanka,5/12/20,889,9,366,2020-05-12
Albania,5/12/20,876,31,682,2020-05-12
Lebanon,5/12/20,870,26,234,2020-05-12
Gabon,5/12/20,863,9,137,2020-05-12
Niger,5/12/20,854,47,648,2020-05-12
Guinea-Bissau,5/12/20,820,3,26,2020-05-12
Costa Rica,5/12/20,804,7,520,2020-05-12
China,5/12/20,788,7,777,2020-05-12
Burkina Faso,5/12/20,766,51,588,2020-05-12
Andorra,5/12/20,758,48,568,2020-05-12
Paraguay,5/12/20,737,10,173,2020-05-12
Mali,5/12/20,730,40,398,2020-05-12
Tajikistan,5/12/20,729,21,0,2020-05-12
Uruguay,5/12/20,717,19,532,2020-05-12
Kenya,5/12/20,715,36,259,2020-05-12
