Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Fdate,Continent,Continent_name_x,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_100k,Continent_code,Continent_name_y
United States,37.0902,-95.7129,5/15/20,1442824,87530,250747,2020-05-15,,North America,United States,2020-05-15,1417.889,27143,85.906,1773,4283.6179999999995,82.00200000000002,259.533,5.356,331002647.0,35.60800000000001,38.3,15.413,9.732000000000001,54225.445999999996,151.089,10.79,19.1,24.6,2.77,,North America
Russia,60.0,90.0,5/15/20,262843,2418,58226,2020-05-15,EU,Europe,Russia,2020-05-15,252.245,9974,2.305,93,1728.481,68.346,15.795,0.637,145934460.0,8.823,39.6,14.177999999999999,9.392999999999999,24765.953999999998,431.29699999999997,6.18,23.4,58.3,8.05,EU,Europe
United Kingdom,55.3781,-3.4360000000000004,5/15/20,236711,33998,0,2020-05-15,EU,Europe,United Kingdom,2020-05-15,233.151,3446,33.614000000000004,428,3434.449,50.762,495.154,6.305,67886004.0,272.89799999999997,40.8,18.517,12.527000000000001,39753.244,122.137,4.28,20.0,24.7,2.54,EU,Europe
Italy,43.0,12.0,5/15/20,223885,31610,120205,2020-05-15,EU,Europe,Italy,2020-05-15,223.096,992,31.368,262,3689.865,16.407,518.807,4.333,60461828.0,205.859,47.9,23.021,16.24,35220.084,113.15100000000001,4.78,19.8,27.8,3.18,EU,Europe
Brazil,-14.235,-51.9253,5/15/20,220291,14962,84970,2020-05-15,SA,South America,Brazil,2020-05-15,202.918,13944,13.993,844,954.6410000000001,65.6,65.831,3.971,212559409.0,25.04,33.5,8.552,5.06,14103.452,177.96099999999996,8.11,10.1,17.9,2.2,SA,South America
France,46.2276,2.2137,5/15/20,177319,27485,59143,2020-05-15,EU,Europe,France,2020-05-15,141.356,622,27.425,351,2165.595,9.529,420.155,5.3770000000000024,65273512.0,122.57799999999999,42.0,19.718,13.079,38605.671,86.06,4.77,30.1,35.6,5.98,EU,Europe
Germany,51.0,9.0,5/15/20,175233,7897,151597,2020-05-15,EU,Europe,Germany,2020-05-15,173.15200000000004,913,7.824,101,2066.649,10.897,93.383,1.205,83783945.0,237.016,46.6,21.453000000000007,15.957,45229.245,156.139,8.31,28.2,33.1,8.0,EU,Europe
Turkey,38.9637,35.2433,5/15/20,146457,4055,106133,2020-05-15,AS,Asia,Turkey,2020-05-15,144.749,1635,4.007,55,1716.275,19.386,47.511,0.652,84339067.0,104.914,31.6,8.152999999999999,5.061,25129.341,171.285,12.13,14.1,41.1,2.81,AS,Asia
Iran,32.0,53.0,5/15/20,116635,6902,91836,2020-05-15,AS,Asia,Iran,2020-05-15,114.533,1808,6.854,71,1363.602,21.526,81.602,0.845,83992953.0,49.831,32.4,5.44,3.182,19082.62,270.308,9.59,0.8,21.1,1.5,AS,Asia
India,21.0,78.0,5/15/20,85784,2753,30258,2020-05-15,AS,Asia,India,2020-05-15,81.97,3967,2.649,100,59.398,2.875,1.92,0.07200000000000001,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,282.28,10.39,1.9,20.6,0.53,AS,Asia
Peru,-9.19,-75.0152,5/15/20,84495,2392,27147,2020-05-15,SA,South America,Peru,2020-05-15,80.604,4298,2.267,98,2444.631,130.35399999999998,68.756,2.972,32971846.0,25.129,29.1,7.151,4.455,12236.706,85.755,5.95,4.8,24.7,1.6,SA,South America
China,30.9756,112.2707,5/15/20,68134,4512,63616,2020-05-15,AS,Asia,China,2020-05-15,84.029,5,4.637,0,58.381,0.003,3.222,0.0,1439323774.0,147.674,38.7,10.640999999999998,5.928999999999999,15308.712,261.899,9.74,1.9,48.4,4.34,AS,Asia
Belgium,50.8333,4.0,5/15/20,54644,8959,14301,2020-05-15,EU,Europe,Belgium,2020-05-15,54.288,307,8.902999999999997,60,4684.193,26.489,768.188,5.1770000000000005,11589616.0,375.564,41.8,18.570999999999998,12.849,42658.575999999994,114.898,4.29,25.1,31.4,5.64,EU,Europe
Saudi Arabia,24.0,45.0,5/15/20,49176,292,21869,2020-05-15,AS,Asia,Saudi Arabia,2020-05-15,46.869,2039,0.28300000000000003,10,1346.274,58.568999999999996,8.129,0.287,34813867.0,15.322000000000001,31.9,3.295,1.845,49045.41099999999,259.538,17.72,1.8,25.4,2.7,AS,Asia
Mexico,23.6345,-102.5528,5/15/20,45032,4767,30451,2020-05-15,,North America,Mexico,2020-05-15,42.595,2409,4.477,257,330.366,18.684,34.724000000000004,1.993,128932753.0,66.444,29.3,6.857,4.3210000000000015,17336.468999999994,152.783,13.06,6.9,21.4,1.38,,North America
Netherlands,52.1326,5.2913,5/15/20,43681,5643,0,2020-05-15,EU,Europe,Netherlands,2020-05-15,43.481,270,5.59,28,2537.574,15.757,326.235,1.6340000000000001,17134873.0,508.54400000000004,43.2,18.779,11.880999999999998,48472.545,109.361,5.29,24.4,27.3,3.32,EU,Europe
Canada,52.9399,-73.5491,5/15/20,41429,3402,0,2020-05-15,,North America,Canada,2020-05-15,73.40100000000002,1123,5.472,168,1944.8010000000002,29.755,144.984,4.4510000000000005,37742157.0,4.037,41.4,16.984,10.797,44017.59099999999,105.59899999999999,7.37,12.0,16.6,2.5,,North America
Chile,-35.6751,-71.543,5/15/20,39542,394,16614,2020-05-15,SA,South America,Chile,2020-05-15,37.04,2659,0.358,12,1937.6229999999998,139.097,18.727999999999998,0.628,19116209.0,24.281999999999996,35.4,11.087,6.938,22767.037,127.993,8.46,34.2,41.5,2.11,SA,South America
Pakistan,30.3753,69.3451,5/15/20,38799,834,10880,2020-05-15,AS,Asia,Pakistan,2020-05-15,37.218,1430,0.8029999999999999,33,168.489,6.474,3.635,0.149,220892331.0,255.57299999999998,23.5,4.495,2.78,5034.708,423.031,8.35,2.8,36.7,0.6,AS,Asia
Ecuador,-1.8312,-78.1834,5/15/20,31467,2594,3433,2020-05-15,SA,South America,Ecuador,2020-05-15,30.502,16,2.338,4,1728.838,0.907,132.517,0.22699999999999998,17643060.0,66.939,28.1,7.104,4.458,10581.936000000003,140.44799999999998,5.55,2.0,12.3,1.5,SA,South America
Switzerland,46.8182,8.2275,5/15/20,30514,1878,27100,2020-05-15,EU,Europe,Switzerland,2020-05-15,30.38,50,1.588,25,3510.265,5.777,183.486,2.889,8654618.0,214.243,43.1,18.436,12.644,57410.166,99.73899999999999,5.59,22.6,28.9,4.53,EU,Europe
