Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Fdate,Continent,Continent_name_x,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_100k,Continent_code,Continent_name_y
Afghanistan,33.0,65.0,5/15/20,6053,153,745,2020-05-15,AS,Asia,Afghanistan,2020-05-15,5.3389999999999995,113,0.136,6,137.149,2.903,3.494,0.154,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,597.029,9.59,1.9,24.7,0.5,AS,Asia
Albania,41.1533,20.1683,5/15/20,916,31,705,2020-05-15,EU,Europe,Albania,2020-05-15,0.898,18,0.031,0,312.0440000000001,6.255,10.772,0.0,2877800.0,104.871,38.0,13.188,8.642999999999999,11803.431,304.195,10.08,7.1,51.2,2.89,EU,Europe
Algeria,28.0339,1.6596,5/15/20,6629,536,3271,2020-05-15,AF,Africa,Algeria,2020-05-15,6.442,189,0.529,7,146.906,4.31,12.064,0.16,43851043.0,17.348,29.1,6.211,3.857,13913.839,278.36400000000003,6.73,0.7,30.4,1.9,AF,Africa
Andorra,42.5063,1.5218,5/15/20,761,49,604,2020-05-15,EU,Europe,Andorra,2020-05-15,0.7609999999999999,1,0.049,0,9849.22,12.942,634.181,0.0,77265.0,163.755,32.4,6.933,1.726,661.24,109.135,7.97,29.0,37.8,0.7,EU,Europe
Angola,-11.2027,17.8739,5/15/20,48,2,17,2020-05-15,AF,Africa,Angola,2020-05-15,0.048,3,0.002,0,1.46,0.091,0.061,0.0,32866268.0,23.89,16.8,2.405,1.362,5819.495,276.045,3.94,1.9,24.7,0.7,AF,Africa
Antigua and Barbuda,17.0608,-61.7964,5/15/20,25,3,19,2020-05-15,,North America,Antigua and Barbuda,2020-05-15,0.025,0,0.003,0,255.29,0.0,30.635,0.0,97928.0,231.845,32.1,6.933,4.631,21490.943,191.511,13.17,1.9,24.7,3.8,,North America
Argentina,-38.4161,-63.6167,5/15/20,7479,356,2497,2020-05-15,SA,South America,Argentina,2020-05-15,7.121,255,0.353,24,157.559,5.642,7.81,0.531,45195777.0,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5.0,SA,South America
Armenia,40.0691,45.0382,5/15/20,4044,52,1666,2020-05-15,AS,Asia,Armenia,2020-05-15,3.86,142,0.049,1,1302.631,47.92100000000001,16.535999999999998,0.337,2963234.0,102.931,35.7,11.232,7.5710000000000015,8787.58,341.01,7.11,1.5,52.1,4.2,AS,Asia
Australia,-35.4735,149.0124,5/15/20,107,3,104,2020-05-15,OC,Oceania,Australia,2020-05-15,6.989,14,0.098,0,274.08,0.5489999999999999,3.843,0.0,25499881.0,3.202,37.9,15.504,10.129,44648.71,107.791,5.07,13.0,16.5,3.84,OC,Oceania
Australia,-33.8688,151.2093,5/15/20,3074,45,2611,2020-05-15,OC,Oceania,Australia,2020-05-15,6.989,14,0.098,0,274.08,0.5489999999999999,3.843,0.0,25499881.0,3.202,37.9,15.504,10.129,44648.71,107.791,5.07,13.0,16.5,3.84,OC,Oceania
Australia,-12.4634,130.8456,5/15/20,29,0,27,2020-05-15,OC,Oceania,Australia,2020-05-15,6.989,14,0.098,0,274.08,0.5489999999999999,3.843,0.0,25499881.0,3.202,37.9,15.504,10.129,44648.71,107.791,5.07,13.0,16.5,3.84,OC,Oceania
Australia,-28.0167,153.4,5/15/20,1055,6,1036,2020-05-15,OC,Oceania,Australia,2020-05-15,6.989,14,0.098,0,274.08,0.5489999999999999,3.843,0.0,25499881.0,3.202,37.9,15.504,10.129,44648.71,107.791,5.07,13.0,16.5,3.84,OC,Oceania
Australia,-34.9285,138.6007,5/15/20,439,4,435,2020-05-15,OC,Oceania,Australia,2020-05-15,6.989,14,0.098,0,274.08,0.5489999999999999,3.843,0.0,25499881.0,3.202,37.9,15.504,10.129,44648.71,107.791,5.07,13.0,16.5,3.84,OC,Oceania
Australia,-41.4545,145.9707,5/15/20,228,13,191,2020-05-15,OC,Oceania,Australia,2020-05-15,6.989,14,0.098,0,274.08,0.5489999999999999,3.843,0.0,25499881.0,3.202,37.9,15.504,10.129,44648.71,107.791,5.07,13.0,16.5,3.84,OC,Oceania
Australia,-37.8136,144.9631,5/15/20,1551,18,1417,2020-05-15,OC,Oceania,Australia,2020-05-15,6.989,14,0.098,0,274.08,0.5489999999999999,3.843,0.0,25499881.0,3.202,37.9,15.504,10.129,44648.71,107.791,5.07,13.0,16.5,3.84,OC,Oceania
Australia,-31.9505,115.8605,5/15/20,552,9,538,2020-05-15,OC,Oceania,Australia,2020-05-15,6.989,14,0.098,0,274.08,0.5489999999999999,3.843,0.0,25499881.0,3.202,37.9,15.504,10.129,44648.71,107.791,5.07,13.0,16.5,3.84,OC,Oceania
Australia,47.5162,14.5501,5/15/20,16109,628,14471,2020-05-15,OC,Oceania,Australia,2020-05-15,6.989,14,0.098,0,274.08,0.5489999999999999,3.843,0.0,25499881.0,3.202,37.9,15.504,10.129,44648.71,107.791,5.07,13.0,16.5,3.84,OC,Oceania
Azerbaijan,40.1431,47.5769,5/15/20,2980,36,1886,2020-05-15,AS,Asia,Azerbaijan,2020-05-15,2.8789999999999996,121,0.035,0,283.948,11.934,3.452,0.0,10139175.0,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,4.7,AS,Asia
Bahamas,25.0343,-77.3963,5/15/20,96,11,41,2020-05-15,,North America,Bahamas,2020-05-15,0.096,2,0.011000000000000001,0,244.121,5.086,27.972,0.0,393248.0,39.497,34.3,8.996,5.2,27717.847,235.954,13.17,3.1,20.4,2.9,,North America
Bahrain,26.0275,50.55,5/15/20,6583,12,2640,2020-05-15,AS,Asia,Bahrain,2020-05-15,6.1979999999999995,382,0.01,0,3642.491,224.497,5.877000000000002,0.0,1701583.0,1935.907,32.4,2.372,1.3869999999999998,43290.705,151.689,16.52,5.8,37.6,2.0,AS,Asia
Bangladesh,23.685,90.3563,5/15/20,20065,298,3882,2020-05-15,AS,Asia,Bangladesh,2020-05-15,18.863,1041,0.28300000000000003,14,114.537,6.3210000000000015,1.7180000000000002,0.085,164689383.0,1265.036,27.5,5.098,3.262,3523.984000000001,298.003,8.38,1.0,44.7,0.8,AS,Asia
Barbados,13.1939,-59.5432,5/15/20,85,7,65,2020-05-15,,North America,Barbados,2020-05-15,0.085,0,0.006999999999999999,0,295.785,0.0,24.359,0.0,287371.0,664.4630000000002,39.8,14.952,9.473,16978.068,170.05,13.57,1.9,14.5,5.8,,North America
United States,53.7098,27.9534,5/15/20,27730,156,8807,2020-05-15,,North America,United States,2020-05-15,1417.889,27143,85.906,1773,4283.618,82.00200000000002,259.533,5.356,331002647.0,35.60800000000001,38.3,15.413,9.732,54225.446,151.089,10.79,19.1,24.6,2.77,,North America
United States,35.1264,33.4299,5/15/20,910,17,481,2020-05-15,,North America,United States,2020-05-15,1417.889,27143,85.906,1773,4283.618,82.00200000000002,259.533,5.356,331002647.0,35.60800000000001,38.3,15.413,9.732,54225.446,151.089,10.79,19.1,24.6,2.77,,North America
United States,37.0902,-95.7129,5/15/20,1442824,87530,250747,2020-05-15,,North America,United States,2020-05-15,1417.889,27143,85.906,1773,4283.618,82.00200000000002,259.533,5.356,331002647.0,35.60800000000001,38.3,15.413,9.732,54225.446,151.089,10.79,19.1,24.6,2.77,,North America
