Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Fdate,Continent,Continent_name
Afghanistan,33.0,65.0,5/12/20,4963,127,610,2020-05-12,AS,Asia
Albania,41.1533,20.1683,5/12/20,876,31,682,2020-05-12,EU,Europe
Algeria,28.0339,1.6596,5/12/20,6067,515,2998,2020-05-12,AF,Africa
Andorra,42.5063,1.5218,5/12/20,758,48,568,2020-05-12,EU,Europe
Angola,-11.2027,17.8739,5/12/20,45,2,13,2020-05-12,AF,Africa
Antigua and Barbuda,17.0608,-61.7964,5/12/20,25,3,19,2020-05-12,,North America
Argentina,-38.4161,-63.6167,5/12/20,6563,319,1862,2020-05-12,SA,South America
Armenia,40.0691,45.0382,5/12/20,3538,47,1430,2020-05-12,AS,Asia
Australia,-35.4735,149.0124,5/12/20,107,3,104,2020-05-12,OC,Oceania
Australia,-33.8688,151.2093,5/12/20,3059,45,2571,2020-05-12,OC,Oceania
Australia,-12.4634,130.8456,5/12/20,29,0,27,2020-05-12,OC,Oceania
Australia,-28.0167,153.4,5/12/20,1052,6,1028,2020-05-12,OC,Oceania
Australia,-34.9285,138.6007,5/12/20,439,4,434,2020-05-12,OC,Oceania
Australia,-41.4545,145.9707,5/12/20,227,13,184,2020-05-12,OC,Oceania
Australia,-37.8136,144.9631,5/12/20,1514,18,1385,2020-05-12,OC,Oceania
Australia,-31.9505,115.8605,5/12/20,553,9,537,2020-05-12,OC,Oceania
Australia,47.5162,14.5501,5/12/20,15961,623,14148,2020-05-12,OC,Oceania
Azerbaijan,40.1431,47.5769,5/12/20,2693,33,1680,2020-05-12,AS,Asia
Bahamas,25.0343,-77.3963,5/12/20,93,11,39,2020-05-12,,North America
Bahrain,26.0275,50.55,5/12/20,5531,9,2192,2020-05-12,AS,Asia
Bangladesh,23.685,90.3563,5/12/20,16660,250,3147,2020-05-12,AS,Asia
Barbados,13.1939,-59.5432,5/12/20,85,7,57,2020-05-12,,North America
United States,53.7098,27.9534,5/12/20,24873,142,6974,2020-05-12,,North America
Belgium,50.8333,4.0,5/12/20,53779,8761,13732,2020-05-12,EU,Europe
Benin,9.3077,2.3158,5/12/20,327,2,76,2020-05-12,AF,Africa
